"Bailey, H. W. (Harold Walter)",MALE
"Balcerowicz, Piotr",MALE
"Bandyopadhyay, Debashis",MALE
"Bapat, Purushottam Vishvanath",MALE
"Bapat, P V (Purushottam Vishvanath)",MALE
"Barrett, Timothy Hugh",MALE
"Basham, Arthur L",MALE
"Baskind, James",MALE
"Baskind, James (Translator)",MALE
"Batchelor, Stephen",MALE
"Bates, Glen",MALE
"Bathgate, Michael",MALE
"Bauer, Mikaël",MALE
"Bayer, Achim",MALE
"Bechert, Heinz",MALE
"Becker, Andreas",MALE
"Beckwith, Christopher I",MALE
"Bender, Ross",MALE
"Bendle, Lawrence J",MALE
"Benn, James A",MALE
"Benovsky, Jiri",MALE
"Berezkin, Rostislav",MALE
"Bernier, Paul",MALE
"Bhatia, M L",MALE
"Bhattacharya, Kamaleswar",MALE
"Bhattacharya, Ramkrishna",MALE
"Bhikkhu, Anālayo",MALE
"Bhikshu, Huimin",MALE
"Bielefeldt, Carl",MALE
"Bingenheimer, Marcus",MALE
"Bingenheimer, Marcus (""Author of introduction, etc. "", Commentator for written text)",MALE
"Bisschop, Peter",MALE
"Bloom, Alfred",MALE
"Bloss, Lowell W",MALE
"Bluck, Robert",MALE
"Blum, Mark L",MALE
"Bocking, Brian",MALE
Bodhi Bhikkhu,MALE
"Bodiford, William M",MALE
"Bodiford, William M (""Author of introduction, etc. "", Translator)",MALE
"Bodiford, William M (Editor)",MALE
"Bogin, Benjamin",MALE
"Bolokan, Eitan",MALE
"Bongard-Levin, G. M. (Grigori Maksimovich)",MALE
"Bongard-Levin, Grigoriĭ Maksimovich",MALE
"Borchert, Thomas Adams",MALE
"Borchert, Thomas A. (Thomas Adams)",MALE
"Boucher, Daniel",MALE
"Braarvig, Jens",MALE
"Bragt, Jan van",MALE
"Bragt, Jan van (Translator, ""Author of introduction, etc. "")",MALE
"Bragt, Jan van (Translator)",MALE
Brahmaíăli Bhikkhu,MALE
"Braun, Erik",MALE
"Breen, John",MALE
"Brekke, Torkel",MALE
"Brewer, Judson A",MALE
"Broido, Michael",MALE
"Bronkhorst, Johannes",MALE
"Brons, Robin",MALE
"Brose, Ben",MALE
"Brose, Ben (Translator)",MALE
"Brown, Robert L",MALE
"Brunning, Luke",MALE
"Bucknell, Rod",MALE
"Bucknell, Roderick S",MALE
"Buescher, John B",MALE
"Bugault, Guy",MALE
"Bumbacher, Stephan Peter",MALE
"Burnett, Richard",MALE
"Burton, David F",MALE
"Burton, David (David F)",MALE
"Bushelle, Ethan",MALE
"Buswell, Robert E Jr",MALE
"Cabezón, José Ignacio",MALE
"Cabezón, José Ignacio",MALE
"Cadge, Wendy",MALE
"Caifang, Zhu",MALE
"Callahan, Christopher",MALE
"Campany, Robert Ford",MALE
"Campany, Robert Ford",MALE
"Campany, Robert Ford",MALE
Candrakīrti,MALE
"Capitanio, Joshua",MALE
"Capitanio, Joshua",MALE
"Capper, Daniel",MALE
"Carr, Kevin Gray",MALE
"Carter, Caleb S",MALE
"Carvalho, Fernando Domicildes",MALE
"Carvalho, Fernando Domicildes (Translator)",MALE
"Catt, Adam",MALE
"Catt, Adam (Translator)",MALE
"Chaix, Rémi",MALE
"Chakravarthi, Ram Prasad",MALE
"Chan, Wing-Shing",MALE
"Chaskalson, Michael",MALE
"Cheetham, Eric",MALE
"Chen, Jinhua",MALE
"Chen, Jinhua",MALE
"Chen, Miao-Sheng",MALE
"Chen, Po-Yu",MALE
"Chen, Shih-Chung Frederick",MALE
"Chen, Shih-Chung (Shih-Chung Frederick)",MALE
"Chia, Jack Meng-Tat",MALE
"Chiew, Hui Ho",MALE
"Childs, Geoff",MALE
"Childs, Geoff",MALE
"Chilson, Clark",MALE
"Chin, Keitō",MALE
"Choong, Mun-Keat",MALE
"Chow, King Wo",MALE
"Chryssides, George D",MALE
"Chu, Junjie",MALE
"Chu, William",MALE
"Clarke, Shayne",MALE
"Clarke, Shayne Neil",MALE
"Clart, Philip",MALE
"Clough, Bradley S",MALE
"Cobb, John B Jr",MALE
"Cohen, Richard S",MALE
"Cohen, Richard S",MALE
"Collier, Trent",MALE
"Collins, Steven",MALE
"Como, Michael I",MALE
"Como, Michael (Michael I)",MALE
"Contestabile, Bruno",MALE
"Conway, Michael",MALE
"Conway, Michael Dr.",MALE
"Conway, Michael Dr. (Translator)",MALE
"Cook, Francis H",MALE
"Cooper, David Edward",MALE
"Cooper, David E. (David Edward)",MALE
"Copp, Paul",MALE
"Coseru, Christian",MALE
"Cousins, Lance S",MALE
"Covell, Stephen G",MALE
"Covell, Stephen G (Editor)",MALE
"Cox, Laurence",MALE
"Cribb, Joe",MALE
"Cruijsen, Thomas",MALE
"D'Amato, Mario",MALE
"D'Ambrosio, Paul J",MALE
"Dalton, Jacob Paul",MALE
"Dargyay, Lobsang",MALE
"Davidson, Ronald M",MALE
"Davidson, Ronald M.",MALE
"Davis, Bret W",MALE
"Davis, Erik W",MALE
"De Silva, D A Premakumara",MALE
"De Silva, Padmal",MALE
"Debreczeny, Karl",MALE
"Debreczeny, Karl",MALE
"Deeg, Max",MALE
Deegalle Mahinda,MALE
"Del Toso, Krishna",MALE
"Deleanu, Florin",MALE
"Delhey, Martin",MALE
